日期,合作类别,机构名称,地理层级
2013.09.20,主办,文化部中外文化交流中心,国际
2013.10.10,主办,歌德学院（中国）,国际
2013.10.10,协办,特别漫画（Special Comix）,其他
2013.10.15,主办,歌德学院（中国）,国际
2013.10.15,协办,特别漫画（Special Comix）,其他
2013.10.16,主办,中国美术家协会版画艺委会,全国
2013.10.16,主办,江苏省美术家协会,江苏地区
2013.10.16,主办,中国水印版画艺术研究中心,全国
2013.10.23,主办,江苏省文化厅,江苏地区
2013.10.23,主办,江苏省文学艺术界联合会,江苏地区
2013.10.26,主办,中国美术家协会版画艺委会,全国
2013.10.26,主办,江苏省美术家协会,江苏地区
2013.10.26,主办,中国水印版画艺术研究中心,全国
2013.10.26,主办,歌德学院（中国）,国际
2013.10.26,协办,特别漫画（Special Comix）,其他
2013.10.26,主办,江苏省文化厅,江苏地区
2013.10.26,主办,江苏省文学艺术界联合会,江苏地区
2014.03.15,协办,南京金鹰全生活中心,江苏地区
2014.03.27,协办,南京金鹰全生活中心,江苏地区
2014.04.01,协办,南京金鹰全生活中心,江苏地区
2014.04.02,协办,南京金鹰全生活中心,江苏地区
2014.04.03,协办,南京金鹰全生活中心,江苏地区
2014.04.06,协办,南京金鹰全生活中心,江苏地区
2014.04.07,协办,南京金鹰全生活中心,江苏地区
2014.04.07,协办,苏宁文化产业有限公司,其他
2014.04.07,协办,南京金鹰全生活中心,江苏地区
2014.04.08,协办,南京金鹰全生活中心,江苏地区
2014.04.10,协办,南京金鹰全生活中心,江苏地区
2014.04.11,协办,南京金鹰全生活中心,江苏地区
2014.04.15,协办,南京金鹰全生活中心,江苏地区
2014.04.16,协办,南京金鹰全生活中心,江苏地区
2014.04.18,协办,南京金鹰全生活中心,江苏地区
2014.04.18,协办,南京金鹰全生活中心,江苏地区
2014.04.19,协办,苏宁文化产业有限公司,其他
2014.04.22,协办,苏宁文化产业有限公司,其他
2014.04.23,协办,南京金鹰全生活中心,江苏地区
2014.04.23,协办,苏宁文化产业有限公司,其他
2014.04.23,协办,苏宁文化产业有限公司,其他
2014.04.24,协办,苏宁文化产业有限公司,其他
2014.04.26,协办,苏宁文化产业有限公司,其他
2014.04.29,协办,苏宁文化产业有限公司,其他
2014.04.29,协办,南京金鹰全生活中心,江苏地区
2014.04.29,协办,苏宁文化产业有限公司,其他
2014.04.30,协办,苏宁文化产业有限公司,其他
2014.04.30,协办,南京金鹰全生活中心,江苏地区
2014.04.30,协办,南京金鹰全生活中心,江苏地区
2014.04.30,协办,苏宁文化产业有限公司,其他
2014.05.01,主办,歌德学院（中国）,国际
2014.05.01,协办,布伦瑞克造型艺术学院,其他
2014.05.01,协办,杜塞尔多夫艺术学院,其他
2014.05.01,协办,科隆媒体艺术学院,其他
2014.05.01,协办,慕尼黑造型艺术学院,其他
2014.05.01,协办,南京金鹰全生活中心,江苏地区
2014.05.02,协办,南京金鹰全生活中心,江苏地区
2014.05.04,主办,布伦瑞克造型艺术学院,其他
2014.05.04,主办,布伦瑞克造型艺术学院,其他
2014.05.04,主办,杜塞尔多夫艺术学院,其他
2014.05.04,主办,科隆媒体艺术学院,其他
2014.05.04,主办,歌德学院（中国）,国际
2014.05.04,协办,布伦瑞克造型艺术学院,其他
2014.05.04,协办,杜塞尔多夫艺术学院,其他
2014.05.04,协办,科隆媒体艺术学院,其他
2014.05.04,协办,慕尼黑造型艺术学院,其他
2014.05.04,协办,苏宁文化产业有限公司,其他
2014.05.04,协办,南京金鹰全生活中心,江苏地区
2014.05.06,主办,歌德学院（中国）,国际
2014.05.06,协办,布伦瑞克造型艺术学院,其他
2014.05.06,协办,杜塞尔多夫艺术学院,其他
2014.05.06,协办,科隆媒体艺术学院,其他
2014.05.06,协办,慕尼黑造型艺术学院,其他
2014.05.06,主办,歌德学院（中国）,国际
2014.05.06,协办,布伦瑞克造型艺术学院,其他
2014.05.06,协办,杜塞尔多夫艺术学院,其他
2014.05.06,协办,科隆媒体艺术学院,其他
2014.05.06,协办,慕尼黑造型艺术学院,其他
2014.05.07,主办,歌德学院（中国）,国际
2014.05.07,协办,布伦瑞克造型艺术学院,其他
2014.05.07,协办,杜塞尔多夫艺术学院,其他
2014.05.07,协办,科隆媒体艺术学院,其他
2014.05.07,协办,慕尼黑造型艺术学院,其他
2014.05.07,主办,歌德学院（中国）,国际
2014.05.07,协办,布伦瑞克造型艺术学院,其他
2014.05.07,协办,杜塞尔多夫艺术学院,其他
2014.05.07,协办,科隆媒体艺术学院,其他
2014.05.07,协办,慕尼黑造型艺术学院,其他
2014.05.08,协办,苏宁文化产业有限公司,其他
2014.05.08,主办,歌德学院（中国）,国际
2014.05.08,协办,布伦瑞克造型艺术学院,其他
2014.05.08,协办,杜塞尔多夫艺术学院,其他
2014.05.08,协办,科隆媒体艺术学院,其他
2014.05.08,协办,慕尼黑造型艺术学院,其他
2014.05.09,协办,苏宁文化产业有限公司,其他
2014.05.09,协办,南京金鹰全生活中心,江苏地区
2014.05.10,协办,苏宁文化产业有限公司,其他
2014.05.10,主办,歌德学院（中国）,国际
2014.05.10,协办,布伦瑞克造型艺术学院,其他
2014.05.10,协办,杜塞尔多夫艺术学院,其他
2014.05.10,协办,科隆媒体艺术学院,其他
2014.05.10,协办,慕尼黑造型艺术学院,其他
2014.05.14,主办,布伦瑞克造型艺术学院,其他
2014.05.14,主办,杜塞尔多夫艺术学院,其他
2014.05.14,主办,科隆媒体艺术学院,其他
2014.05.14,主办,慕尼黑造型艺术学院,其他
2014.05.14,主办,歌德学院（中国）,国际
2014.05.14,协办,布伦瑞克造型艺术学院,其他
2014.05.14,协办,杜塞尔多夫艺术学院,其他
2014.05.14,协办,科隆媒体艺术学院,其他
2014.05.14,协办,慕尼黑造型艺术学院,其他
2014.05.15,协办,苏宁文化产业有限公司,其他
2014.05.16,主办,布伦瑞克造型艺术学院,其他
2014.05.16,主办,杜塞尔多夫艺术学院,其他
2014.05.16,主办,科隆媒体艺术学院,其他
2014.05.16,主办,慕尼黑造型艺术学院,其他
2014.05.16,主办,歌德学院（中国）,国际
2014.05.16,协办,布伦瑞克造型艺术学院,其他
2014.05.16,协办,杜塞尔多夫艺术学院,其他
2014.05.16,协办,科隆媒体艺术学院,其他
2014.05.16,协办,慕尼黑造型艺术学院,其他
2014.05.21,主办,歌德学院（中国）,国际
2014.05.21,协办,布伦瑞克造型艺术学院,其他
2014.05.21,协办,杜塞尔多夫艺术学院,其他
2014.05.21,协办,科隆媒体艺术学院,其他
2014.05.21,协办,慕尼黑造型艺术学院,其他
2014.10.07,赞助,国创物流网络集团,其他
2014.10.09,赞助,西藏卓玛泉,其他
2014.10.09,赞助,国创物流网络集团,其他
2014.10.10,赞助,国创物流网络集团,其他
2014.10.11,赞助,国创物流网络集团,其他
2014.10.11,赞助,国创物流网络集团,其他
2014.10.12,特别鸣谢,The Danish Cultural Institute in China,其他
2014.10.12,特别鸣谢,丹麦文化中心（中国）,国际
2014.10.12,特别鸣谢,The Danish Cultural Season 2014-2015,其他
2014.10.12,特别鸣谢,丹麦文化季 2014-2015,国际
2014.10.14,特别鸣谢,The Danish Cultural Institute in China,其他
2014.10.14,特别鸣谢,丹麦文化中心（中国）,国际
2014.10.14,特别鸣谢,The Danish Cultural Season 2014-2015,其他
2014.10.14,特别鸣谢,丹麦文化季 2014-2015,国际
2014.10.14,赞助,西藏卓玛泉,其他
2014.10.17,赞助,国创物流网络集团,其他
2014.10.17,赞助,西藏卓玛泉,其他
2014.11.11,主办,视觉认知与艺术史——围绕福柯的,其他
2014.12.02,学术支持,南京大学人文社会科学高级研究院,江苏地区
2014.12.02,主办,现代快报 南京师范大学 南京大学艺术研究院,江苏地区
2014.12.02,承办,江苏艺加文化投资有限公司,江苏地区
2014.12.02,协办,南京师范大学徐悲鸿艺术研究院,江苏地区
2014.12.02,协办,江阴长江村 江苏新长江文化发展有限公司,江苏地区
2014.12.02,特别协办,江阴长江村 江苏新长江文化发展有限公司,江苏地区
2015.03.17,主办,歌德学院（中国）,国际
2015.03.17,主办,歌德学院（中国）,国际
2015.03.17,主办,德国对外文化关系学院,国际
2015.03.18,主办,歌德学院（中国）,国际
2015.03.18,主办,歌德学院（中国）,国际
2015.03.18,主办,德国对外文化关系学院,国际
2015.03.18,主办,歌德学院（中国）,国际
2015.03.18,主办,歌德学院（中国）,国际
2015.04.16,主办,南京艺术,江苏地区
2015.05.08,承办,省工商局,其他
2015.05.08,承办,省苏豪控股集团,其他
2015.05.08,承办,凤凰出版传媒集团,其他
2015.05.08,承办,省台办,其他
2015.05.08,承办,南京市委宣传部,江苏地区
2015.05.08,支持,两岸企业家峰会文创产业推进小组,其他
2015.06.09,主办,中国传媒大学,全国
2015.06.09,承办,中国传媒大学新闻传播学部,全国
2015.06.11,主办,中国传媒大学,全国
2015.06.11,承办,中国传媒大学新闻传播学部,全国
2015.06.18,主办,南京艺术,江苏地区
2015.09.23,主办,歌德学院（中国）,国际
2015.09.23,主办,歌德学院（中国）,国际
2016.03.24,协办,江苏美基文化艺术有限公司,江苏地区
2016.03.25,主办,Exhibition來促进地區和國界間的文化,其他
2016.03.25,主办,并結合基于西方当代建筑语言来诠释东方自然体验为出发点的Endless Architects將為水人節提供就地取材,其他
2016.03.25,主办,由自然材料搭建的自然建築,其他
2016.03.25,主办,為水人節各種可能的活動提供獨特發生場地。,其他
2016.03.25,主办,Exhibition來促进地區和國界間的文化,其他
2016.03.25,主办,Endless Architects將為木人節提供就地取材,其他
2016.03.25,主办,由自然材料搭建的臨時建築,其他
2016.03.25,主办,為木人節提供臨時活動發生場地。通過在木人節中调配社交元素,其他
2016.03.25,主办,資源整合與活動事件,其他
2016.03.25,主办,構建出長三角地區基於設計師,其他
2016.03.25,主办,藝術家們的流動社區。,其他
2016.03.26,协办,江苏美基文化艺术有限公司,江苏地区
2016.06.12,赞助,「劳森伯格在中国」回顾展,全国
2016.07.10,赞助,「劳森伯格在中国」回顾展,全国
2016.10.16,主办,法国驻华大使馆,国际
2016.10.16,主办,南京法语联盟,江苏地区
2016.10.18,主办,法国驻华大使馆,国际
2016.10.18,主办,南京法语联盟,江苏地区
2016.10.19,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2016.10.21,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2016.11.03,主办,一分钟影像基金会（荷兰） The One Minutes Foundation,国际
2017.09.13,赞助,RANDOMEVENT,其他
2017.09.30,协办,UNAC TOKYO,其他
2017.10.06,协办,UNAC TOKYO,其他
2017.10.09,协办,UNAC TOKYO,其他
2017.10.11,协办,UNAC TOKYO,其他
2017.10.12,协办,UNAC TOKYO,其他
2017.10.13,协办,UNAC TOKYO,其他
2017.10.19,协办,UNAC TOKYO,其他
2017.10.20,协办,UNAC TOKYO,其他
2017.10.25,协办,UNAC TOKYO,其他
2017.10.31,协办,UNAC TOKYO,其他
2017.11.24,主办,上海大学上海美术学院,长三角地区
2017.11.24,主办,上海大学上海美术学院,长三角地区
2017.11.25,主办,上海大学上海美术学院,长三角地区
2017.11.25,主办,上海大学上海美术学院,长三角地区
2018.04.18,主办,歌德学院（中国）,国际
2018.04.18,主办,歌德学院（中国）,国际
2018.04.19,主办,歌德学院（中国）,国际
2018.04.20,主办,歌德学院（中国）,国际
2018.04.23,主办,歌德学院（中国）,国际
2018.04.24,主办,歌德学院（中国）,国际
2018.04.27,主办,歌德学院（中国）,国际
2018.04.29,主办,歌德学院（中国）,国际
2018.08.30,主办,中国美术家协会壁画艺术委员会,全国
2018.08.30,协办,贝尊艺术文化传播有限公司,其他
2018.09.07,支持,在艺APP,其他
2018.11.13,主办,歌德学院（中国）,国际
2018.11.15,主办,歌德学院（中国）,国际
2018.12.04,主办,\\,其他
2019.03.01,协办,歌德学院（中国）,国际
2019.03.04,主办,中国国家画院,全国
2019.03.17,协办,歌德学院（中国）,国际
2019.03.20,协办,歌德学院（中国）,国际
2019.03.20,主办,歌德学院（中国）,国际
2019.03.20,主办,歌德学院（中国）,国际
2019.03.21,协办,歌德学院（中国）,国际
2019.03.21,主办,歌德学院（中国）,国际
2019.04.07,协办,歌德学院（中国）,国际
2019.04.09,协办,歌德学院（中国）,国际
2019.04.17,协办,歌德学院（中国）,国际
2019.04.18,协办,歌德学院（中国）,国际
2019.04.23,协办,歌德学院（中国）,国际
2019.05.03,主办,中国美术学院跨媒体艺术学院,全国
2019.05.03,承办,AME影视计划,其他
2019.05.03,承办,中国美术学院空间影像研究所,全国
2019.06.17,主办,\\,其他
2019.06.17,承办,\\,其他
2019.06.17,协办,\\,其他
2019.10.18,特别鸣谢,舞蹈学院18级中国舞编导,全国
2019.10.24,特别鸣谢,舞蹈学院18级中国舞编导,全国
2019.11.05,学术支持,德国卡塞尔艺术学院,国际
2019.11.05,学术支持,南京北河身体剧场,江苏地区
2019.11.20,协办,北京工业大学艺术设计学院,其他
2019.11.21,协办,北京工业大学艺术设计学院,其他
2020.11.20,主办,中国当代水墨年鉴组委会,全国
2020.11.20,主办,谋道文化,其他
2020.11.20,承办,大川文化,其他
2020.11.20,承办,谋道文化,其他
2021.04.14,特别鸣谢,德国辉柏嘉,国际
2021.04.27,主办,雷电所,其他
2021.04.27,指导,上海市文化创意产业促进会,长三角地区
2021.04.27,指导,上海市静安区文化旅游局,长三角地区
2021.04.27,指导,上海科学与艺术学会,长三角地区
2021.04.27,赞助,上海风语筑文化科技股份有限公司,长三角地区
2021.06.10,特别鸣谢,Feng Langshi   冯浪时 Zhang Yongji    张永基,其他
2021.11.09,主办,约翰·莫尔绘画奖基金会,其他
2021.11.10,主办,南京特殊教育师范学院美术与设计学院,江苏地区
2022.01.01,赞助,辉柏嘉Faber-Castell,其他
2022.01.15,赞助,辉柏嘉Faber-Castell,其他
2023.03.11,特别鸣谢,观粟信息科技有限公司,其他
2023.03.18,特别鸣谢,观粟信息科技有限公司,其他
2023.04.12,支持,辉柏嘉  画刊艺术中心,其他
2023.04.13,支持,辉柏嘉  画刊艺术中心zhī chí dān wèi ：huī bó jiā  huà kān yì shùzhōng xīn!!,其他
2023.04.22,支持,辉柏嘉  画刊艺术中心,其他
2023.04.29,支持,辉柏嘉  画刊艺术中心,其他
2023.09.01,协办,上海松江斑驳艺术中心,长三角地区
2023.09.09,协办,上海松江斑驳艺术中心,长三角地区
2023.10.10,主办,厦门大学创意与创新学院,其他
2023.10.14,主办,厦门大学创意与创新学院,其他
2023.10.18,主办,厦门大学创意与创新学院,其他
2023.10.20,主办,厦门大学创意与创新学院,其他
2023.10.22,主办,厦门大学创意与创新学院,其他
2023.10.26,主办,广州美术学院跨媒体艺术学院,其他
2023.11.05,支持,海南南国控股集团有限公司,其他
2023.11.07,支持,海南南国控股集团有限公司,其他
2023.11.25,主办,歌德学院（中国）,国际
2023.12.08,主办,中国当代水墨年鉴组委会,全国
2023.12.08,承办,大川文化,其他
2023.12.08,承办,谋道文化,其他
2023.12.08,承办,谋道文化,其他
2024.01.04,主办,南京汤山温泉旅游度假区,江苏地区
2024.01.04,支持,中国舞台美术学会 江苏省舞台美术学会,江苏地区
2024.01.12,主办,中国当代水墨年鉴组委会,全国
2024.01.12,承办,大川文化,其他
2024.01.12,承办,谋道文化,其他
2024.01.12,承办,谋道文化,其他
2024.01.17,主办,中国当代水墨年鉴组委会,全国
2024.01.17,承办,大川文化,其他
2024.01.17,承办,谋道文化,其他
2024.01.17,承办,谋道文化,其他
2024.01.26,主办,中国当代水墨年鉴组委会,全国
2024.01.26,承办,大川文化,其他
2024.01.26,承办,谋道文化,其他
2024.01.26,承办,谋道文化,其他
2024.01.30,主办,中国当代水墨年鉴组委会,全国
2024.01.30,承办,大川文化,其他
2024.01.30,承办,谋道文化,其他
2024.01.30,承办,谋道文化,其他
2024.01.31,主办,中国当代水墨年鉴组委会,全国
2024.01.31,承办,大川文化,其他
2024.01.31,承办,谋道文化,其他
2024.01.31,承办,谋道文化,其他
2024.02.02,主办,中国当代水墨年鉴组委会,全国
2024.02.02,承办,大川文化,其他
2024.02.02,承办,谋道文化,其他
2024.02.02,承办,谋道文化,其他
2024.03.06,主办,纽约Ethan Cohen KuBe,其他
2024.03.18,协办,厦门大学艺术研究所,其他
2024.03.18,协办,华东师范大学中国当代漆艺术中心,全国
2024.05.04,指导,亚太动画协会,全国
2024.05.04,指导,中国产学研合作促进会｜中国教育资源协同创新平台,全国
2024.05.04,学术支持,国际动画艺术研究院,国际
2024.05.04,学术支持,电影评介杂志社,其他
2024.05.04,协办,中国地质大学艺术与传媒学院,全国
2024.05.04,协办,中南民族大学美术学院,其他
2024.05.04,协办,武汉纺织大学外经贸学院,其他
2024.06.14,主办,江苏省油画学会,江苏地区
2024.06.14,主办,上海市美术家协会油画艺术委员会,长三角地区
2024.06.14,承办,江苏油画雕塑院,江苏地区
2024.10.03,指导,南京市绿化园林局,江苏地区
2024.10.03,主办,南京长江江豚省级自然保护区管理站,江苏地区
2024.10.03,主办,南京江豚水生生物保护协会,江苏地区
2024.10.03,指导,南京市农业农村局,江苏地区
2024.10.03,主办,南京江豚水生生物保护协会,江苏地区
2024.10.10,协办,大未来林舍画廊,其他
2024.10.10,协办,大未来林舍画廊,其他
2024.10.12,学术支持,(美)西弗吉尼亚大学美术与设计学院,其他
2024.10.15,学术支持,(美)西弗吉尼亚大学美术与设计学院,其他
2024.11.04,协办,纽约视觉艺术学院  Co-orgenizer: SVA,其他
2024.11.13,协办,纽约视觉艺术学院  Co-orgenizer: SVA,其他
2024.12.01,主办,歌德学院（中国）,国际
2024.12.01,主办,歌德学院（中国）,国际
2024.12.01,特别鸣谢,德国斑马国际诗歌电影节,国际
2024.12.07,指导,江苏省教育厅文字语言工作委员会,江苏地区
2024.12.14,主办,歌德学院（中国）,国际
2024.12.22,协办,河南省方城县博物馆,其他
2024.12.22,协办,河南省方城县博物馆,其他
2024.12.29,主办,多伦路社区,其他
2024.12.29,承办,EAA艺术中心,其他
2025.01.16,协办,河南省方城县博物馆,其他
2025.01.16,协办,河南省方城县博物馆,其他
2025.04.21,学术支持,曹  方,其他
2025.04.21,学术支持,王  方,其他
2025.04.21,学术支持,蒋  杰,其他
2025.04.21,学术支持,张  明,其他
2025.04.21,学术支持,薛  峰,其他
2025.04.21,学术支持,汪  敏,其他
2025.04.21,学术支持,周  剑,其他
2025.06.08,主办,艺术粮仓,其他
2025.06.08,主办,艺术粮仓,其他
2025.06.08,协办,敦煌市文旅集团,其他
2025.06.08,协办,敦煌市文旅集团,其他
2025.06.09,学术支持,中国美术学院视觉中国协同创新中心,全国
2025.06.09,学术支持,中国美术学院中国画学院,全国
2025.06.12,主办,韩国中央大学,国际
2025.06.12,承办,韩国中央大学艺术学科,国际
2025.06.12,承办,吉林艺术学院艺术管理学院,其他
2025.06.28,主办,中国当代水墨年鉴组委会,全国
2025.07.06,学术支持,中国美术学院视觉中国协同创新中心,全国
2025.07.06,学术支持,中国美术学院中国画学院,全国
2025.09.05,主办,复旦大学视觉文化研究中心,其他
2025.09.15,承办,南京市鼓楼区图书馆,江苏地区
2025.09.24,协办,恒邦艺术中心,其他
2025.09.26,赞助,020ART,其他
2025.09.26,赞助,北京鑫河艺博文化有限公司,其他
2025.09.26,赞助,北京飞行鱼文化发展有限公司,其他
2025.09.26,赞助,北京百展文化科技有限公司,其他
2025.10.15,承办,南京市鼓楼区图书馆,江苏地区
2025.10.15,协办,南京市鼓楼区摄影家协会,江苏地区
2025.10.22,主办,科研处,其他
2025.10.22,主办,现代音乐与科技学院,其他
2025.10.22,赞助,020ART,其他
2025.10.22,赞助,北京鑫河艺博文化有限公司,其他
2025.10.22,赞助,北京飞行鱼文化发展有限公司,其他
2025.10.22,赞助,北京百展文化科技有限公司,其他
2025.10.27,承办,南京市鼓楼区图书馆 南京市鼓楼区少年宫 南京市鼓楼区下关街道关工委,江苏地区
2025.10.28,承办,南京市鼓楼区图书馆 南京市鼓楼区少年宫 南京市鼓楼区下关街道关工委,江苏地区
2025.10.29,承办,南京市鼓楼区图书馆 南京市鼓楼区少年宫 南京市鼓楼区下关街道关工委,江苏地区
2025.11.01,学术支持,浙江人民美术出版社,长三角地区
2025.11.04,主办,无锡市惠山泥人厂,江苏地区
2025.11.06,学术支持,浙江人民美术出版社,长三角地区
2025.11.19,承办,南京市鼓楼区图书馆,江苏地区
2025.12.30,主办,中国当代水墨年鉴,全国
2025.12.30,主办,中国艺术研究院,全国
2025.12.30,承办,中国艺术研究院创作管理处,全国
2026.03.03,指导,江苏省美术家协会,江苏地区
2026.03.07,承办,天津美术学院造型艺术学院,其他
2026.03.07,学术支持,天津美术学院艺术与人文学院,其他
2026.03.10,指导,江苏省美术家协会,江苏地区
2026.03.19,指导,江苏省美术家协会,江苏地区
